 c =    0.10000000000000E+03   0.10000000000000E+02; m =     0
      0
    0.00000000000000   2.37525485390621  0.05942139216982      0   0.00000000000000  0.00000000000000      0  13, 15
    0.10000000000000   1.44429688480491 -0.03628107993490      0  -1.44425944759756 -0.10897154578874      1  13, 13
    0.20000000000000   3.14923720621389 -0.56341821180411     -1  -6.49419857704838  0.49842875734844      0  13, 13
    0.30000000000000   2.22952329203639 -1.03767159170415     -2  -7.28303067500291  2.53663759533776     -1  11, 12
    0.40000000000000   4.14006181941899 -4.34767870234951     -4  -1.98201299574382  1.70144820119872     -2  10, 11
    0.50000000000000   1.01708803419669 -3.88530032048242     -6  -0.80656162450553  2.16544087156602     -4   8,  8
    0.60000000000000  -2.27107324302200 -5.30875341110540     -9   1.28971328637992  4.11584658604129     -7   5,  6
    0.70000000000000  -1.11518993919365 -0.35457013747102    -12   1.04715858291996  0.45340509432666    -10   1,  2
    0.80000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.90000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    1.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
      1
    0.00000000000000   0.00000000000000  0.00000000000000      0   3.34641474619751  0.25221422533437      1  15, 13
    0.10000000000000   2.04509240865148  0.05134060625749      0   0.20705413696057 -2.05155901930501      0  13, 13
    0.20000000000000   9.05647881015000 -1.15475224472023     -1  -1.39589404225122 -0.00989188895672      1  13, 13
    0.30000000000000   0.98840405186483 -0.40097997712832     -1  -2.86476618680268  0.80018173348281      0  12, 12
    0.40000000000000   2.56673065448412 -2.43784750337638     -3  -1.14752635975323  0.87682271256602     -1  11, 11
    0.50000000000000   0.91660087855900 -2.89903316569078     -5  -0.67092038702286  1.53967243095595     -3   8,  9
    0.60000000000000  -1.88554971244334 -5.10121369875495     -8   0.97944443696679  3.82635305645701     -6   6,  6
    0.70000000000000  -1.26445015737309 -0.47324047980628    -11   1.15535489046713  0.57372529849740     -9   2,  3
    0.80000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.90000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    1.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
      2
    0.00000000000000  -1.67318456930430 -0.04250686166693      0   0.00000000000000  0.00000000000000      0  13, 15
    0.10000000000000   1.01727119546201  0.17948649593612      0   3.09330389824550  0.02892974957038      1  13, 13
    0.20000000000000   1.60815727722197 -0.10015535757233      0  -1.41010506412797 -0.26805439414002      1  13, 13
    0.30000000000000   2.92105811404065 -0.99785008659366     -1  -7.27678518243494  1.44636088086557      0  13, 13
    0.40000000000000   1.08684266176294 -0.92682120859323     -2  -4.50052978083848  3.01543713096334     -1  11, 11
    0.50000000000000   0.55921994422691 -1.49210328557331     -4  -3.80108251915196  7.51661621606380     -3   9, 10
    0.60000000000000  -1.06255614692186 -3.40656656448299     -7   0.48921976634818  2.46788639781104     -5   7,  7
    0.70000000000000  -0.99954518616486 -0.43375114397050    -10   0.88713106969868  0.50144016600714     -8   3,  4
    0.80000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.90000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    1.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
      3
    0.00000000000000   0.00000000000000  0.00000000000000      0  -4.07227956955518 -0.30960924083830      1  15, 13
    0.10000000000000  -8.46584615637739  1.45079348080347     -1   3.30914209050391  0.50668498780447      1  13, 13
    0.20000000000000   1.89776031643749  0.06412026336425      0   1.99564375265886 -5.61835355925997      0  13, 13
    0.30000000000000   6.57251749120797 -1.78086639362588     -1  -1.33359300679719  0.12818738562747      1  13, 13
    0.40000000000000   3.61812240609441 -2.74209589835458     -2  -1.37276127114313  0.78850389960846      0  12, 12
    0.50000000000000   2.67805508086283 -6.10548266797914     -4  -1.69479344138366  2.90095283104620     -2  10, 10
    0.60000000000000  -0.46386994785346 -1.82420816094721     -6   0.17795038606503  1.27386087075149     -4   7,  8
    0.70000000000000  -6.35462485778725 -3.16354368777685    -10   5.46865841274823  3.50057866356134     -8   4,  4
    0.80000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
